id	organism	seedid	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	ncbiid	platform	kbaseid	kingdom	phylum	class	order	family	genus	species	file	strain
Acinetobacter_johnsonii_SH046	Acinetobacter johnsonii SH046	Acinetobacter johnsonii SH046 (575586.4)	Aerobe	Asaccharolytic	Negative		863	1446	1068	Laura Kutt	04/18/16	575586	ModelSEED	kb|g.2448	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_johnsonii_SH046.xml	Acinetobacter johnsonii SH046
Acinetobacter_junii_SH205	Acinetobacter junii SH205	Acinetobacter junii SH205 (575587.3)	Aerobe	Strictly respiratory, amino acids utilized	Negative	Opportunistic pathogen	753	1295	951	Ines Thiele	06/29/12	575587	ModelSEED		Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_junii_SH205.xml	Acinetobacter junii SH205
Acinetobacter_lwoffii_WJ10621	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii WJ10621 (1046625.3)	Aerobe	Respiratory	Negative		798	1356	1024	Laura Kutt	04/18/16	1046625	ModelSEED	kb|g.23426	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_lwoffii_WJ10621.xml	Acinetobacter lwoffii WJ10621
Acinetobacter_pittii_ANC_4052	Acinetobacter pittii ANC 4052	Acinetobacter pittii ANC 4052 (1217689.3)	Aerobe	Asaccharolytic	Negative		1021	1582	1146	Laura Kutt	04/18/16	1217689	Kbase	kb|g.31207	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_pittii_ANC_4052.xml	Acinetobacter pittii ANC 4052
Acinetobacter_radioresistens_NIPH_2130	Acinetobacter radioresistens NIPH 2130	Acinetobacter radioresistens NIPH 2130 (1217674.3)	Aerobe	Asaccharolytic	Negative		857	1425	1076	Laura Kutt	04/18/16	1217674	Kbase	kb|g.31202	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_radioresistens_NIPH_2130.xml	Acinetobacter radioresistens NIPH 2130
Actinobacillus_pleuropneumoniae_L20	Actinobacillus pleuropneumoniae L20	Actinobacillus pleuropneumoniae L20 (416269.5)	Facultative anaerobe	Saccharolytic, fermentative	Negative		772	1403	1027	Laura Kutt	06/02/16	416269	Kbase	kb|g.1403	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinobacillus_pleuropneumoniae_L20.xml	Actinobacillus pleuropneumoniae L20
Actinomyces_cardiffensis_F0333	Actinomyces cardiffensis F0333	Actinomyces cardiffensis F0333 (888050.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	580	1065	850	chenry	04/15/16	888050	Kbase	kb|g.32379	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia cardiffensis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_cardiffensis_F0333.xml	Actinomyces cardiffensis F0333
Actinomyces_georgiae_DSM_6843	Actinomyces georgiae  DSM 6843		Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	536	1068	860	chenry	04/15/16	1120942	Kbase	kb|g.207006	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia georgiae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_georgiae_DSM_6843.xml	Actinomyces georgiae  DSM 6843
Actinomyces_graevenitzii_C83	Actinomyces graevenitzii  C83	Actinomyces graevenitzii C83 (435830.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	529	1032	868	chenry	04/15/16	435830	Kbase	kb|g.26676	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_graevenitzii_C83.xml	Actinomyces graevenitzii  C83
Actinomyces_naeslundii_str_Howell_279	Actinomyces naeslundii str. Howell 279		Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	668	1203	959	chenry	04/15/16	1115803	Kbase	kb|g.24325	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_naeslundii_str_Howell_279.xml	Actinomyces naeslundii str. Howell 279
Actinomyces_odontolyticus_ATCC_17982	Actinomyces odontolyticus ATCC 17982	Actinomyces odontolyticus ATCC 17982 (411466.7)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	577	1741	1079	Ines Thiele	06/29/12	411466	Kbase		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia odontolytica	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_odontolyticus_ATCC_17982.xml	Actinomyces odontolyticus ATCC 17982
Actinomyces_oris_K20	Actinomyces oris K20		Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	534	1148	927	chenry	04/15/16	871541	ModelSEED	kb|g.27961	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_oris_K20.xml	Actinomyces oris K20
Actinomyces_turicensis_ACS_279_V_Col4	Actinomyces turicensis ACS-279-V-Col4	Actinomyces turicensis ACS-279-V-Col4 (883077.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	591	1129	887	chenry	04/15/16	883077	ModelSEED	kb|g.28017	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia turicensis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_turicensis_ACS_279_V_Col4.xml	Actinomyces turicensis ACS-279-V-Col4
Actinomyces_urogenitalis_DSM_15434	Actinomyces urogenitalis DSM 15434	Actinomyces urogenitalis DSM 15434 (525246.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	690	1247	946	chenry	04/15/16	525246	Kbase	kb|g.1979	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_urogenitalis_DSM_15434.xml	Actinomyces urogenitalis DSM 15434
Actinomyces_viscosus_C505	Actinomyces viscosus  C505	Actinomyces viscosus C505 (562973.4)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	722	1234	956	chenry	04/15/16	562973	Kbase	kb|g.2332	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces viscosus	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Actinomyces_viscosus_C505.xml	Actinomyces viscosus  C505
Adlercreutzia_equolifaciens_DSM_19450	Adlercreutzia equolifaciens DSM 19450		Obligate anaerobe	Asaccharolytic, nonfermentative	Positive	Commensal	590	942	813	chenry	09/09/14	1384484	Kbase		Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Adlercreutzia_equolifaciens_DSM_19450.xml	Adlercreutzia equolifaciens DSM 19450
Aerococcus_viridans_ATCC_11563	Aerococcus viridans ATCC 11563	Aerococcus viridans ATCC 11563 (655812.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive		667	1209	941	Laura Kutt	04/17/16	655812	Kbase	kb|g.2789	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus viridans	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aerococcus_viridans_ATCC_11563.xml	Aerococcus viridans ATCC 11563
Aeromonas_caviae_Ae398	Aeromonas caviae Ae398	Aeromonas caviae Ae398 (878320.4)	Facultative anaerobe	Saccharolytic, fermentative	Negative		1090	1569	1122	Laura Kutt	04/18/16	878320	Kbase	kb|g.3542	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_caviae_Ae398.xml	Aeromonas caviae Ae398
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5)	Facultative anaerobe	Saccharolytic, fermentative	Negative		1105	1588	1140	Laura Kutt	04/18/16	380703	Kbase	kb|g.26547	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966.xml	Aeromonas hydrophila subsp. hydrophila ATCC 7966
Aeromonas_jandaei_Riv2	Aeromonas jandaei Riv2		Facultative anaerobe	Saccharolytic, fermentative	Negative		988	1511	1090	Laura Kutt	04/18/16	1458276	Kbase	kb|g.239699	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas jandaei	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_jandaei_Riv2.xml	Aeromonas jandaei Riv2
Aeromonas_media_WS	Aeromonas media WS		Facultative anaerobe	Saccharolytic, fermentative	Negative		1013	1543	1125	Laura Kutt	04/18/16	1208104	Kbase	kb|g.239700	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_media_WS.xml	Aeromonas media WS
Aeromonas_veronii_B565	Aeromonas veronii B565	Aeromonas veronii B565 (998088.4)	Facultative anaerobe	Saccharolytic, non-fermentative	Negative		1084	1559	1128	Laura Kutt	04/18/16	998088	Kbase	kb|g.3886	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aeromonas_veronii_B565.xml	Aeromonas veronii B565
Afipia_birgiae_34632	Afipia birgiae 34632	Afipia birgiae 34632 (1197906.5)	Obligate aerobe	Respiratory	Negative		1178	1482	1113	Laura Kutt	04/18/16	1197906	Kbase	kb|g.25402	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Afipia birgiae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Afipia_birgiae_34632.xml	Afipia birgiae 34632
Aggregatibacter_aphrophilus_NJ8700	Aggregatibacter aphrophilus NJ8700	Aggregatibacter aphrophilus NJ8700 (634176.4)	Aerobe	Respiratory	Negative		730	1294	998	Laura Kutt	04/19/16	634176	Kbase	kb|g.2675	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aggregatibacter_aphrophilus_NJ8700.xml	Aggregatibacter aphrophilus NJ8700
Agrobacterium_tumefaciens_F2	Agrobacterium tumefaciens F2	Agrobacterium tumefaciens F2 (1050720.3)	Aerobe	Respiratory	Negative		1290	1562	1169			1050720	Kbase	kb|g.23531	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Agrobacterium_tumefaciens_F2.xml	Agrobacterium tumefaciens F2
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila ATCC BAA-835 (349741.6)	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	643	2274	1275	Eugen Bauer	08/03/14	349741	Kbase		Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Akkermansia_muciniphila_ATCC_BAA_835.xml	Akkermansia muciniphila ATCC BAA-835
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	Alcaligenes faecalis subsp. faecalis NBRC 13111		Aerobe	Respiratory	Negative		988	1531	1127	Laura Kutt	04/18/16	1218102	Kbase	kb|g.239717	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alcaligenes_faecalis_subsp_faecalis_NBRC_13111.xml	Alcaligenes faecalis subsp. faecalis NBRC 13111
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	Alcaligenes faecalis subsp. faecalis NCIB 8687	Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	Aerobe	Respiratory	Negative		1059	1491	1103	Laura Kutt	05/30/16	1156918	Kbase	kb|g.24921	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alcaligenes_faecalis_subsp_faecalis_NCIB_8687.xml	Alcaligenes faecalis subsp. faecalis NCIB 8687
Alistipes_finegoldii_DSM_17242	Alistipes finegoldii DSM 17242	Alistipes finegoldii DSM 17242 (679935.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	1147	883	Laura Kutt	04/17/16	679935	Kbase	kb|g.27343	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_finegoldii_DSM_17242.xml	Alistipes finegoldii DSM 17242
Alistipes_indistinctus_YIT_12060	Alistipes indistinctus YIT 12060	Alistipes indistinctus YIT 12060 (742725.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		703	2185	1393	Laura Kutt	04/17/16	742725	ModelSEED	kb|g.27472	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes indistinctus	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_indistinctus_YIT_12060.xml	Alistipes indistinctus YIT 12060
Alistipes_onderdonkii_DSM_19147	Alistipes onderdonkii DSM 19147	Alistipes onderdonkii DSM 19147 (1120974.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		662	1101	899	Laura Kutt	04/17/16	1203611	ModelSEED	kb|g.29550	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_onderdonkii_DSM_19147.xml	Alistipes onderdonkii DSM 19147
Alistipes_putredinis_DSM_17216	Alistipes putredinis DSM 17216	Alistipes putredinis DSM 17216 (445970.5)	Obligate anaerobe	Weakly saccharolytic, fermentative	Negative	Commensal	421	858	721	chenry	09/09/14	445970	Kbase	kb|g.1522	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_putredinis_DSM_17216.xml	Alistipes putredinis DSM 17216
Alistipes_shahii_WAL_8301	Alistipes shahii WAL 8301	Alistipes shahii WAL 8301 (717959.3)	Obligate anaerobe	Saccharolytic, fermentative	Negative		668	2225	1262	Laura Kutt	04/17/16	717959	Kbase	kb|g.3099	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alistipes_shahii_WAL_8301.xml	Alistipes shahii WAL 8301
Alloprevotella_tannerae_ATCC_51259	Alloprevotella tannerae ATCC 51259		Obligate anaerobe	Saccharolytic, fermentative	Negative		809	893	770	Laura Kutt	04/17/16	626522	Kbase	kb|g.2651	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Alloprevotella_tannerae_ATCC_51259.xml	Alloprevotella tannerae ATCC 51259
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850	Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	670	1030	825	Ines Thiele	06/29/12	649746	Kbase		Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium hydrogeniformans	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850.xml	Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850
Anaerobiospirillum_succiniciproducens_DSM_640001	Anaerobiospirillum succiniciproducens DSM 640001		Anaerobe	Asaccharolytic	Negative		563	1127	919	Laura Kutt	04/19/16	1120988	Kbase	kb|g.207031	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum succiniciproducens	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerobiospirillum_succiniciproducens_DSM_640001.xml	Anaerobiospirillum succiniciproducens DSM 640001
Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis DSM 7454 (561177.4)	Obligate anaerobe	Weakly saccharolytic, fermentative	Positive	Commensal	582	873	696	Ines Thiele	06/29/12	561177	Kbase		Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerococcus_hydrogenalis_DSM_7454.xml	Anaerococcus hydrogenalis DSM 7454
Anaerococcus_prevotii_DSM_20548	Anaerococcus prevotii DSM 20548	Anaerococcus prevoti prevotii DSM 20548 (525919.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive		537	1060	809	Laura Kutt	04/18/16	525919	Kbase	kb|g.2043	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerococcus_prevotii_DSM_20548.xml	Anaerococcus prevotii DSM 20548
Anaerococcus_vaginalis_ATCC_51170	Anaerococcus vaginalis ATCC 51170	Anaerococcus vaginalis ATCC 51170 (655811.4)	Obligate anaerobe	Saccharolytic, fermentative	Positive		515	1119	859	Laura Kutt	04/18/16	655811	Kbase	kb|g.2788	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus vaginalis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerococcus_vaginalis_ATCC_51170.xml	Anaerococcus vaginalis ATCC 51170
Anaerofustis_stercorihominis_DSM_17244	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis DSM 17244 (445971.6)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	587	986	847	Eugen Bauer	08/03/14	445971	ModelSEED		Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis stercorihominis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerofustis_stercorihominis_DSM_17244.xml	Anaerofustis stercorihominis DSM 17244
Anaerostipes_caccae_DSM_14662	Anaerostipes caccae DSM 14662	Anaerostipes caccae DSM 14662 (411490.6)	Obligate anaerobe	Saccharolytic, fermentative, acetate and lactate converted to butyrate	Positive	Commensal	978	1617	1221	Ines Thiele	08/06/12	411490	ModelSEED		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerostipes_caccae_DSM_14662.xml	Anaerostipes caccae DSM 14662
Anaerostipes_hadrus_DSM_3319	Anaerostipes hadrus DSM 3319	Anaerostipes hadrus DSM 3319 (649757.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	812	1704	1227	chenry	09/10/14	649757	Kbase	kb|g.32259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerostipes_hadrus_DSM_3319.xml	Anaerostipes hadrus DSM 3319
Anaerostipes_sp_3_2_56FAA	Anaerostipes sp. 3_2_56FAA	Anaerostipes sp. 3_2_56FAA (665937.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	1002	1138	942	Ines Thiele	06/29/12	665937	Kbase		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerostipes_sp_3_2_56FAA.xml	Anaerostipes sp. 3_2_56FAA
Anaerotruncus_colihominis_DSM_17241	Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis DSM 17241 (445972.6)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	754	1090	887	Ines Thiele	04/20/12	445972	Kbase		Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Anaerotruncus_colihominis_DSM_17241.xml	Anaerotruncus colihominis DSM 17241
Aneurinibacillus_aneurinilyticus_ATCC_12856	Aneurinibacillus aneurinilyticus ATCC 12856		Aerobe	Saccharolytic	Positive		1076	1510	1142	Laura Kutt	04/18/16	649747	Kbase	kb|g.216026	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus aneurinilyticus	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Aneurinibacillus_aneurinilyticus_ATCC_12856.xml	Aneurinibacillus aneurinilyticus ATCC 12856
